경찰서,치안센터명,주소,
서울중부,충4치안센터,서울 중구 충무로2길 39,서울특별시 중구 광희동
서울종로,구기치안센터,서울 종로구 비봉길 13,서울특별시 종로구 평창동
서울서대문,북아현치안센터,서울 서대문구 북아현로 59-1번지,서울특별시 서대문구 충현동
서울혜화,종로3가치안센터,서울 종로구 돈화문로 28,서울특별시 종로구 종로1.2.3.4가동
서울용산,청파치안센터,서울 용산구 청파로 274-2,서울특별시 용산구 청파동
서울용산,용산치안센터,서울 용산구 신흥로 90,서울특별시 용산구 용산2가동
서울용산,한남2치안센터,서울 용산구 이태원로 281,서울특별시 용산구 한남동
서울용산,이촌치안센터,서울 용산구 이촌로71길 24,서울특별시 용산구 이촌제1동 
서울성북,삼선치안센터,서울 성북구 보문로29길 92,서울특별시 성북구 삼선동 
서울성북,길음1치안센터,서울 성북구 정릉로 31길 30 ,서울특별시 성북구 정릉제1동 
서울성북,정릉1치안센터,서울 성북구 동소문로 258,서울특별시 성북구 길음제1동
서울동대문,답십리1치안센터,서울 동대문 고미술로 93,서울특별시 동대문구 답십리제2동
서울동대문,장안3치안센터,서울 동대문구 장안로18길 78,서울특별시 동대문구 장안1동
서울마포,노고산치안센터,서울 마포구 신촌로18길 26,서울특별시 마포구 서교동 
서울마포,망원2치안센터,서울 마포구 월드컵로 31길 18,서울특별시 마포구 망원제2동
서울마포,동교치안센터,서울 마포구 신촌로2안길 27,서울특별시 마포구 서교동 
서울영등포,도림치안센터,서울 영등포구 도신로 29길 13,서울특별시 영등포구 도림동
서울영등포,신길5치안센터,서울 영등포구 신길로 23길 12,서울특별시 영등포구 신길제5동 
서울성동,뚝섬치안센터,서울 성동구 왕십리로5길 3,서울특별시 성동구 성수1가제2동 
서울동작,흑석2치안센터,서울 동작구 현충로140-1,서울특별시 동작구 흑석동
서울동작,상도2치안센터,서울 동작구 장승배기로 73,서울특별시 동작구 상도제2동 
서울광진,자양2치안센터,서울 광진구 자양로3가길 28,서울특별시 광진구 자양제2동 
서울광진,구의3치안센터,서울 광진구 광나루로56길 4,서울특별시 광진구 구의제3동
서울서부,역촌1치안센터,서울 은평구 연서로6길 19,서울특별시 은평구 역촌동 
서울강북,동화치안센터,서울 강북구 솔매로49길 14,서울특별시 강북구 미아동
서울강북,우이치안센터,서울 강북구 삼양로 678,서울특별시 강북구 우이동 
서울강북,수유6치안센터,서울 강북구 삼양로 457,서울특별시 강북구 인수동
서울금천,시흥본치안센터,서울 금천구 금하로 11길 40,서울특별시 금천구 시흥제1동
서울금천,시흥3치안센터,서울 금천구 시흥대로37길 18,서울특별시 금천구 시흥제3동 
서울중랑,망우3치안센터,서울 중랑구 용마공원로5길 13,서울특별시 중랑구 망우본동 
서울강남,코엑스치안센터,서울 봉은사로 524,서울특별시 강남구 삼성1동
서울강남,압구정치안센터,서울 강남구 압구정로 33길 48,서울특별시 강남구 압구정동
서울관악,서원치안센터,관악구 신원로 36,서울특별시 관악구 서원동
서울관악,청룡2치안센터,관악구 참숯1길 33,서울특별시 관악구 청룡동 
서울강서,화곡본동치안센터,서울 강서구 까치산로 51,서울특별시 강서구 화곡본동 
서울강서,개화2치안센터,서울 강서구 개화동로 275-1,서울특별시 강서구 방화제2동
서울종암,장위2치안센터,서울 성북구 화랑로 19길 85,서울특별시 성북구 장위제2동
서울구로,신도림치안센터,서울 구로구 신도림로 40,서울특별시 구로구 신도림동
서울구로,구로1치안센터,서울 구로구 구일로 52,서울특별시 구로구 구로제1동
서울구로,구로2치안센터,서울 구로구 구로동로 141,서울특별시 구로구 구로제2동
서울구로,개봉치안센터,서울 구로구 경인로 293,서울특별시 구로구 개봉제1동
서울구로,개봉3치안센터,서울 구로구 개봉로 1가길 28,서울특별시 구로구 개봉제3동
서울서초,잠원치안센터,서울 서초구 나루터로 38,서울특별시 서초구 잠원동
서울서초,방서치안센타,서울 서초구 명달로 55,서울특별시 서초구 서초3동
서울서초,우면치안센터,서울 서초구 바우뫼로 45,서울특별시 서초구 양재1동
서울양천,신정7치안센터,서울 양천구 목동남로93,서울특별시 양천구 신정7동 
서울송파,송파1치안센터,서울 송파구 백제고분로 392,서울특별시 송파구 송파1동
서울송파,가락2치안센터,서울 송파구 오금로 46길 55,서울특별시 송파구 가락2동 
서울노원,하계1치안센터,서울 노원구 공릉로 290,서울특별시 노원구 하계1동
서울방배,방배4치안센터,서울 서초구 방배중앙로 131,서울특별시 서초구 방배4동
서울은평,불광1치안센터,서울 은평구 불광로 129,서울특별시 은평구 불광제1동 
서울은평,신도치안센터,서울 은평구 진관2로 125,서울특별시 은평구 진관동 
서울은평,상림치안센터,서울 은평구 진관4로 48-25,서울특별시 은평구 진관동 
서울도봉,방학2치안센터,서울 도봉구 방학로 12길 18,서울특별시 도봉구 방학제2동
서울수서,은마치안센터,서울 강남구 삼성로 236,서울특별시 강남구 대치2동
