지역,전체단지수,관리비등록단지수,공용관리비용,세대사용비용,장기수선충당금,잡수입,년도,월
서울시 전체,2811,2228,1085.15,962.79,145.35,170.18,2020,1
강남구,225,152,1150.25,1263.36,115.0,169.32,2020,1
강동구,122,84,979.12,1114.07,103.53,162.3,2020,1
강북구,47,38,995.7,684.55,121.88,141.97,2020,1
강서구,168,138,960.57,1124.35,151.39,149.88,2020,1
관악구,73,51,905.37,798.0,146.38,123.18,2020,1
광진구,69,55,1318.58,773.65,163.65,149.14,2020,1
구로구,141,112,922.34,828.96,149.37,115.52,2020,1
금천구,41,34,919.85,763.71,158.19,187.63,2020,1
노원구,214,181,1108.58,1129.89,215.21,118.68,2020,1
도봉구,104,93,1005.99,755.46,199.63,105.52,2020,1
동대문구,107,78,944.06,702.99,118.64,206.87,2020,1
동작구,119,92,1102.81,922.81,184.09,147.47,2020,1
마포구,121,103,1136.74,1151.39,136.68,183.35,2020,1
서대문구,80,70,1058.41,861.62,121.05,197.04,2020,1
서초구,158,114,1270.77,1380.52,117.42,244.06,2020,1
성동구,111,101,1040.42,717.08,157.92,230.27,2020,1
성북구,133,105,911.26,719.17,148.54,139.72,2020,1
송파구,140,124,1117.0,1455.79,111.24,160.56,2020,1
양천구,118,96,1209.82,1367.14,140.58,258.0,2020,1
영등포구,159,126,1156.58,966.59,150.98,181.2,2020,1
용산구,66,52,1528.57,1299.6,138.75,153.51,2020,1
은평구,124,98,1009.13,1087.78,109.88,180.66,2020,1
종로구,27,22,1196.01,668.98,153.26,203.94,2020,1
중구,44,28,1214.46,658.74,159.47,223.8,2020,1
중랑구,100,81,966.37,873.56,161.01,120.86,2020,1
서울시 전체,2811,2230,1078.99,914.68,147.08,144.85,2020,2
강남구,225,151,1376.07,1414.15,141.26,179.78,2020,2
강동구,122,84,897.66,980.19,96.48,114.84,2020,2
강북구,47,38,1002.08,671.98,121.88,113.55,2020,2
강서구,168,138,958.76,1051.24,151.11,108.83,2020,2
관악구,73,51,898.35,778.84,147.08,144.42,2020,2
광진구,69,55,1301.13,755.01,163.7,115.14,2020,2
구로구,141,112,911.63,796.02,149.93,104.85,2020,2
금천구,41,34,887.9,718.27,158.57,203.79,2020,2
노원구,214,182,1099.82,1049.29,214.27,75.56,2020,2
도봉구,104,94,997.11,713.25,201.96,77.73,2020,2
동대문구,107,78,942.07,689.66,115.49,124.61,2020,2
동작구,119,92,1092.98,860.05,184.67,144.69,2020,2
마포구,121,105,1103.85,1065.84,133.14,163.65,2020,2
서대문구,80,71,1018.29,805.36,118.61,175.57,2020,2
서초구,158,114,1254.73,1305.68,120.7,198.65,2020,2
성동구,111,100,1037.37,683.16,161.11,191.17,2020,2
성북구,133,105,902.84,679.29,150.16,104.19,2020,2
송파구,140,125,1090.53,1352.95,111.98,136.98,2020,2
양천구,118,95,1207.27,1276.03,143.11,229.03,2020,2
영등포구,159,126,1137.38,909.96,149.06,152.2,2020,2
용산구,66,51,1521.38,1229.2,138.3,127.45,2020,2
은평구,124,98,990.97,1018.74,110.66,131.99,2020,2
종로구,27,22,1184.29,600.89,169.19,213.15,2020,2
중구,44,28,1198.67,648.77,163.27,199.37,2020,2
중랑구,100,81,961.68,813.28,161.38,90.01,2020,2
서울시 전체,2811,2237,1070.31,823.81,146.27,142.91,2020,3
강남구,225,154,1122.2,1024.67,116.05,122.84,2020,3
강동구,122,84,972.94,937.81,97.91,122.28,2020,3
강북구,47,37,992.94,633.85,121.75,135.67,2020,3
강서구,168,138,960.56,931.53,152.08,144.47,2020,3
관악구,73,50,920.17,691.81,152.41,125.65,2020,3
광진구,69,54,1276.13,681.88,164.17,131.07,2020,3
구로구,141,112,925.65,731.08,150.0,117.76,2020,3
금천구,41,34,886.68,694.41,158.57,133.13,2020,3
노원구,214,182,1098.72,916.67,215.76,100.85,2020,3
도봉구,104,94,994.65,650.56,203.05,117.17,2020,3
동대문구,107,79,940.59,627.37,116.4,141.96,2020,3
동작구,119,94,1080.86,779.65,186.61,151.71,2020,3
마포구,121,105,1109.07,958.74,135.57,190.01,2020,3
서대문구,80,71,1055.32,771.56,118.99,143.98,2020,3
서초구,158,115,1255.33,1154.3,119.2,185.82,2020,3
성동구,111,99,1026.96,634.01,162.81,187.71,2020,3
성북구,133,105,898.68,666.85,150.16,111.02,2020,3
송파구,140,125,1079.04,1164.07,110.71,127.95,2020,3
양천구,118,95,1201.14,1123.34,143.65,239.63,2020,3
영등포구,159,129,1139.1,815.5,150.19,163.0,2020,3
용산구,66,51,1509.69,1077.68,138.48,147.82,2020,3
은평구,124,99,992.44,923.44,111.78,111.16,2020,3
종로구,27,22,1170.83,637.53,156.05,175.99,2020,3
중구,44,28,1182.8,616.41,162.46,146.2,2020,3
중랑구,100,81,965.2,750.67,161.79,97.81,2020,3
