행정동,치안센터
서울특별시 강남구 개포1동,0
서울특별시 강남구 개포2동,0
서울특별시 강남구 개포4동,1
서울특별시 강남구 논현1동,1
서울특별시 강남구 논현2동,1
서울특별시 강남구 대치1동,1
서울특별시 강남구 대치2동,1
서울특별시 강남구 대치4동,0
서울특별시 강남구 도곡1동,0
서울특별시 강남구 도곡2동,0
서울특별시 강남구 삼성1동,2
서울특별시 강남구 삼성2동,1
서울특별시 강남구 세곡동,1
서울특별시 강남구 수서동,1
서울특별시 강남구 신사동,1
서울특별시 강남구 압구정동,2
서울특별시 강남구 역삼1동,1
서울특별시 강남구 역삼2동,1
서울특별시 강남구 일원1동,1
서울특별시 강남구 일원2동,0
서울특별시 강남구 일원본동,0
서울특별시 강남구 청담동,1
서울특별시 강동구 강일동,1
서울특별시 강동구 고덕1동,1
서울특별시 강동구 고덕2동,0
서울특별시 강동구 길동,0
서울특별시 강동구 둔촌1동,0
서울특별시 강동구 둔촌2동,2
서울특별시 강동구 명일1동,0
서울특별시 강동구 명일2동,1
서울특별시 강동구 상일동,1
서울특별시 강동구 성내1동,1
서울특별시 강동구 성내2동,0
서울특별시 강동구 성내3동,0
서울특별시 강동구 암사1동,0
서울특별시 강동구 암사2동,0
서울특별시 강동구 암사3동,1
서울특별시 강동구 천호1동,0
서울특별시 강동구 천호2동,1
서울특별시 강동구 천호3동,0
서울특별시 강북구 미아동,1
서울특별시 강북구 번1동,1
서울특별시 강북구 번2동,0
서울특별시 강북구 번3동,1
서울특별시 강북구 삼각산동,0
서울특별시 강북구 삼양동,1
서울특별시 강북구 송중동,1
서울특별시 강북구 송천동,1
서울특별시 강북구 수유1동,1
서울특별시 강북구 수유2동,1
서울특별시 강북구 수유3동,1
서울특별시 강북구 우이동,1
서울특별시 강북구 인수동,2
서울특별시 강서구 가양1동,1
서울특별시 강서구 가양2동,0
서울특별시 강서구 가양3동,0
서울특별시 강서구 공항동,0
서울특별시 강서구 등촌1동,0
서울특별시 강서구 등촌2동,1
서울특별시 강서구 등촌3동,1
서울특별시 강서구 발산1동,1
서울특별시 강서구 방화1동,0
서울특별시 강서구 방화2동,2
서울특별시 강서구 방화3동,1
서울특별시 강서구 염창동,1
서울특별시 강서구 우장산동,0
서울특별시 강서구 화곡1동,1
서울특별시 강서구 화곡2동,0
서울특별시 강서구 화곡3동,1
서울특별시 강서구 화곡4동,0
서울특별시 강서구 화곡6동,1
서울특별시 강서구 화곡8동,0
서울특별시 강서구 화곡본동,1
서울특별시 관악구 낙성대동,1
서울특별시 관악구 난곡동,0
서울특별시 관악구 난향동,1
서울특별시 관악구 남현동,1
서울특별시 관악구 대학동,0
서울특별시 관악구 미성동,1
서울특별시 관악구 보라매동,0
서울특별시 관악구 삼성동,0
서울특별시 관악구 서림동,1
서울특별시 관악구 서원동,2
서울특별시 관악구 성현동,0
서울특별시 관악구 신림동,0
서울특별시 관악구 신사동,1
서울특별시 관악구 신원동,0
서울특별시 관악구 은천동,2
서울특별시 관악구 인헌동,0
서울특별시 관악구 조원동,0
서울특별시 관악구 중앙동,0
서울특별시 관악구 청룡동,1
서울특별시 관악구 청림동,0
서울특별시 관악구 행운동,0
서울특별시 광진구 광장동,1
서울특별시 광진구 구의1동,0
서울특별시 광진구 구의2동,1
서울특별시 광진구 구의3동,1
서울특별시 광진구 군자동,0
서울특별시 광진구 능동,0
서울특별시 광진구 자양1동,1
서울특별시 광진구 자양2동,1
서울특별시 광진구 자양3동,1
서울특별시 광진구 자양4동,1
서울특별시 광진구 중곡1동,1
